Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
177,Elton Brand,2000,2016,1058,33,15.9,8.5,2.1,0.9,1.7,0.5,0.095,0.736,109.6,0.151
178,K.C. Jones,1959,1967,676,25.9,7.4,3.5,4.3,,,0.387,,0.647,38.6,0.106
179,Jerry Sloan,1966,1976,755,34.1,14,7.4,2.5,2.2,0.2,0.427,,0.722,49.5,0.092
180,Jamal Mashburn,1994,2004,611,37.3,19.1,5.4,4,1,0.2,0.418,0.345,0.766,43.7,0.092
181,Bob Rule,1968,1975,403,29.4,17.4,8.3,1.5,0.4,0.4,0.461,,0.686,22.7,0.092
182,Derrick Coleman,1991,2005,781,33.2,16.5,9.3,2.5,0.8,1.3,0.447,0.295,0.769,64.3,0.119
183,Gilbert Arenas,2002,2012,552,35.1,20.7,3.9,5.3,1.6,0.2,0.421,0.351,0.803,51.3,0.127
184,Joe Johnson,2002,2018,1276,34.7,16,4,3.9,0.8,0.2,0.441,0.371,0.802,82.8,0.09
185,Joe Caldwell,1965,1970,468,29.6,15.2,5.1,2.7,,,0.459,,0.634,23.9,0.083
186,Norm Nixon,1978,1989,768,35.5,15.7,2.6,8.3,1.5,0.1,0.483,0.294,0.772,47.6,0.084
187,Mark Aguirre,1982,1994,923,30,20,5,3.1,0.7,0.3,0.484,0.312,0.741,67.8,0.117
188,Micheal Ray Richardson,1979,1986,556,33.4,14.8,5.5,7,2.6,0.4,0.457,0.22,0.69,35.2,0.091
189,Archie Clark,1967,1976,725,32.5,16.3,3.3,4.8,1.1,0.1,0.48,,0.769,64.7,0.132
190,Jimmy Walker,1968,1976,698,33.8,16.7,2.7,3.5,1.1,0.2,0.461,,0.829,42.9,0.087
191,Doug Collins,1974,1981,415,33.6,17.9,3.2,3.3,1.2,0.3,0.501,0,0.833,38,0.131
192,Kiki Vandeweghe,1981,1993,810,30.3,19.7,3.4,2.1,0.6,0.3,0.525,0.368,0.872,75.6,0.148
193,Larry Kenon,1977,1983,503,30.8,17,7.8,2.6,1.3,0.3,0.489,0.1,0.798,36.5,0.113
194,Alvin Robertson,1985,1996,779,31.7,14,5.2,5,2.7,0.4,0.477,0.295,0.743,52.1,0.101
195,Sam Cassell,1994,2008,993,30,15.7,3.2,6,1.1,0.2,0.454,0.331,0.861,87.5,0.141
196,World B. Free,1976,1988,886,30.4,20.3,2.7,3.7,1,0.3,0.456,0.337,0.753,67.7,0.121
197,Stephon Marbury,1997,2009,846,37.7,19.3,3,7.6,1.2,0.1,0.433,0.325,0.784,77.5,0.117
198,Fat Lever,1983,1994,752,31.7,13.9,6,6.2,2.2,0.3,0.447,0.31,0.771,61.2,0.123
199,Baron Davis,2000,2012,835,34.2,16.1,3.8,7.2,1.8,0.4,0.409,0.32,0.711,63.1,0.106
200,Bill Bridges,1963,1975,926,33.3,11.9,11.9,2.8,0.7,0.4,0.442,,0.693,59.9,0.093
201,Lamar Odom,2000,2013,961,33.4,13.3,8.4,3.7,0.9,0.9,0.463,0.312,0.693,77,0.115
202,Kelly Tripucka,1982,1991,707,29.6,17.2,3.8,3,1,0.2,0.473,0.361,0.849,44.4,0.102
203,Wayne Embry,1959,1969,831,26.2,12.5,9.1,1.4,,,0.44,,0.64,37.8,0.083
204,Mookie Blaylock,1990,2002,889,34.9,13.5,4.1,6.7,2.3,0.3,0.409,0.336,0.736,71.8,0.111
205,Alvan Adams,1976,1988,988,27.5,14.1,7,4.1,1.3,0.8,0.498,0.133,0.788,73.5,0.13
206,Carlos Boozer,2003,2015,861,31.2,16.2,9.5,2.2,0.9,0.4,0.521,0.071,0.722,80.3,0.143
207,Don Ohl,1961,1970,727,30.8,15.9,3,3.1,,,0.434,,0.732,30.2,0.065
208,Marcus Camby,1997,2013,973,29.5,9.5,9.8,1.9,1,2.4,0.466,0.205,0.67,81.6,0.137
209,Rod Strickland,1989,2005,1094,30.7,13.2,3.7,7.3,1.5,0.2,0.454,0.282,0.721,85.8,0.122
210,Carl Braun,1948,1962,788,29.8,13.5,3.4,3.7,,,0.383,,0.804,64.3,0.119
211,Jeff Malone,1984,1996,905,32.8,19,2.6,2.4,0.6,0.1,0.484,0.268,0.871,54.2,0.088
212,Danny Manning,1989,2003,883,27.4,14,5.2,2.3,1.1,0.9,0.511,0.206,0.729,55.1,0.109
213,Charles Oakley,1986,2004,1282,31.4,9.7,9.5,2.5,1.1,0.3,0.471,0.253,0.761,89.7,0.107
214,Sidney Wicks,1972,1981,760,33.9,16.8,8.7,3.2,1,0.7,0.459,0,0.685,42.4,0.079
215,John Williamson,1977,1981,288,31.8,20.1,2.5,2.8,1.1,0.2,0.449,0.293,0.833,13.4,0.07
216,Arnie Risen,1949,1958,637,28.3,12,9.7,1.7,,,0.381,,0.699,56,0.119
217,Cedric Maxwell,1978,1988,835,28.5,12.5,6.3,2.2,0.8,0.5,0.546,0.053,0.784,78.5,0.159
218,Darrell Griffith,1981,1991,765,28,16.2,3.3,2.1,1.2,0.3,0.463,0.332,0.707,22,0.049
219,Ray Scott,1962,1970,684,31.2,14.9,10.5,2.4,,,0.405,,0.72,30.8,0.069
220,Cazzie Russell,1967,1978,817,27.2,15.1,3.8,2.2,0.8,0.1,0.464,,0.827,51.7,0.112
221,Dale Ellis,1984,2000,1209,28.8,15.7,3.5,1.4,0.8,0.2,0.479,0.403,0.784,84.7,0.117
222,Reggie Lewis,1988,1993,450,32.6,17.6,4.3,2.6,1.3,0.9,0.488,0.2,0.824,38.9,0.127
223,Richard Hamilton,2000,2013,921,32.1,17.1,3.1,3.4,0.8,0.1,0.449,0.346,0.852,62.8,0.102
224,Michael Redd,2001,2012,629,32,19,3.8,2.1,0.9,0.1,0.447,0.38,0.838,55.9,0.134
